"№ п/п","№ маршр.","Режим движения","Названия маршрута","Прямой путь","Обратный путь","Время нач. и оконч. работы маршрута","Кол-во
выездов
Раб.  (Вых.)","Кол-во оборотных
рейсов Раб. (Вых.)","Длина оборотн. рейса","Время оборотн.  рейса по паспорту"
69,221,"мт мк","Червоный хутор - Новый рынок","Червоный хутор,  ул.Ак.Вильямса, Люстдорфская дорога, ул.Краснова, ул.Среднефонтанская, ул.Пушкинская,
  ул. Греческая, ул. Екатерининская, ул.Ланжероновская, ул.Гаванная, ул.Маяковского, ул. Преображенская, Соборная пл., ул. Л. Толстого, 
ул. Новосельского,  ул. Торговая, ул.Нежинская (Новый рынок)."," ул.Нежинская (Новый рынок), ул.Конная, ул.Новосельского, ул. Л. Толстого, 
пл. В. Холодной, ул.Бунина, ул.Ришельевская,  ул. Водопроводная, бул.Итальянский, ул.Среднефонтанская, ул.Краснова, Люстдорфская дорога, ул.Ак.Вильямса,  Червоный хутор","06:30-23:10","31 (25)","155 (125)","37 км","95 мин"
70,223,"об мк","Приморский Суд – 
16 ст. Б.Фонтана","Приморский суд. ул.Балковская, 
ул. Скидановская, сп.Скидановский, ул.Манежная, ул.Ольгиевская, ул. Пастера, ул. Преображенская,  ул.Бунина, ул.Канатная, ул.Сегедская, Фонтанская дор., ул.Гаршина, ул.Дачная, Дачный пер., Фонтанская дор. (16-я ст. Б.Фонтана)","Фонтанская дор.(16 ст. Б.Фонтана), ул.Сегедская, ул.Гагарина, пр.Шевченко, ул.Пироговская, ул.Мариинская, Итальянский б-р, ул.Канатная, ул.Греческая, ул. Ришельевская, 
ул. Жуковского,   ул.Преображенская, ул.Садовая, ул. Торговая, ул.Пастера, ул.Старопортофранковская, сп.Ольгиевский, ул.Балковская, Приморский суд.","08:00-21:40","2 (-)","10 (-)","39,2 км","121 мин"
,,"мт мк",,,,"06:30-22:30","6(6)","36(36)",,"106 мин"
71,"232а","об мк","ул. Вильямса  - 
ул. Ак. Сахарова","ул.Ак.Королева (ул.Вильямса),  ул.25-й Чап. Дивизии, ул.Варненская, ул.Ак.Филатова, пл.Б.Деревянко, ул.Щорса, Ивановский путепровод, ул.В.Стуса, ул.Дальницкая, ул.Балковская, ул.Черноморского казачества, Николаевская дор., просп. Добровольского,  ул. Ак. Заболотного,
 ул. Ак. Сахарова","ул. Ак. Сахарова, ул. Ак. Заболотного,
 пр-т Добровольского,  Николаевская дорога,  ул.Ат.Головатого, ул.Балковская, ул.Дальницкая, ул.В.Стуса, Ивановский путепровод, ул.Щорса,  пл.Б.Деревянко, ул.Ак.Филатова, ул.Варненская, ул.25-й Чап. Дивизии,  ул.Ак.Королева (ул.Вильямса)","06:30-21:35","1(0)
2(2)","4(0)
8(8)","66,8 км","225 мин"
,,"мт мк",,,,"05:10-00:20","16(16)
55(55)","64(64)
220(220)","66,8 км","203 мин"
72,233,"мт мк","Тираспольское шоссе («Два столба») – Парк Шевченко","""Два столба"", ул. Тираспольское шоссе, Дальницкое шоссе, ул.Столбовая, ул.В.Стуса, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого, ул.Малая Арнаутская, ул.Белинского, парк им.Шевченко","Парк им.Шевченко, ул.Белинского, ул.Большая Арнаутская, ул.Мечникова, ул.Б.Хмельницкого, ул.Степовая, ул.Мельницкая, ул.В.Стуса, ул.Столбовая, Дальницкое шоссе, Тираспольское шоссе, ""Два столба""","05:50-21:00","10 (4)","70 (28)","29,0 км","100,6 мин"
73,237,"мт мк","ЦПУ «Вокзал» – 
ул. Агрономическая","пл.Старосенная, ул. Одесса Главная, Итальянский бульвар, пл. Привокзальная, 
ул. Пантелеймоновская, ул.Преображенская, ул.Нежинская, ул.Ольгиевская, 
ул. Старопортофранковская, сп.Ольгиевский, ул.Балковская, ул.Маловского, ул.Рачкова, ул.Ак.Воробьева, ул.Агрономическая","ул.Агрономическая, ул.Ак.Воробьева, ул.Рачкова, ул.Маловского, ул.Балковская, сп.Скидановский,  ул. Манежная, 
ул. Ольгиевская, ул.Нежинская, ул.Преображенская, ул. Троицкая,  Ришельевская, ул.Водопроводная, 
пл. Старосенная","07:00-19:10","2 (1)","12 (6)","18,2 км","75 мин"
74,240,"об мк","ул. Паустовского –   ул.Преображенская","ул.Паустовского, пр.Добровольского, Николаевская дорога, ул.Атамана Головатого, сп.Херсонский, ул.Старопортофранковская,
 ул. М. Арнаутская, ул. Преображенская","ул. Преображенская, 
ул. Пантелеймоновская,  ул.Старопортофранковская, ул.Торговая,  ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, пр.Добровольского, ул.Паустовского","06:00-22:00
","1 (1)","4 (4)","40,0 км","113 мин"
,,"мт мк",,,,"05:20-24:00","16(16)","96(96)","40,0 км","100 мин"
,,"мт авт",,,,"05:25-24:00","2(-)","4(-)","40,0 км","110 мин"
75,241,"мт  мк","ул. Ген. Бочарова –Ж/Д вокзал","ул.Бочарова, пр.Добровольского, Николаевская дорога, ул.Атамана Головатого, сп.Херсонский, ул.Пастера, ул.Преображенская, ул.М.Арнаутская, пр.Александровский,
ул.Пантелеймоновская, 
ул. Водопроводная, Итальянский бул., 
ул. Среднефонтанская (до 
ул. Пироговской), 
ул. Среднефонтанская, ул. Л.Шмидта,
 ул. Пантелеймоновская (дом № 62)","ул. Пантелеймоновская, 
ул. Преображенская, ул.Софиевская,  сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, пр.Добровольского, ул.Бочарова","05:30-21:30","15(15)","105(105)","42,0 км","105 мин"
76,242,"мт мк","ул. Паустовского – ООМУ (Больница водников)","Ул. Паустовского, Днепропетровская дорога, Южная дор., Николаевская дорога, ул.Атамана Головатого, сп.Херсонский, ул.Пастера, ул.Преображенская, ул.Бунина, ул.Екатерининская, ул.Пантелеймоновская, ул. Ришельевская, бул.Итальянский, ул.Среднефонтанская,  ул. Пироговская, ул. Канатная, ул. Семинарская, пр.Шевченко,  ул.Черняховского,  пр.Адмиральский,  ул.Судостроительная, ООМУ (больница водников).","ООМУ (больница водников), ул.Судостроительная, пр.Адмиральский, ул.Черняховского, пр.Шевченко, ул.Пироговская, ул.Мариинская, бул.Итальянский, ул. Л. Шмидта, ул.Пантелеймоновская, ул.Екатерининская, ул.Жуковского, ул.Преображенская, ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, Южная дор., Днепропетровская дорога, ул. Паустовского","05:40-23:00","36(28)","180(140)","51,0 км","125 мин"
,,"мт авт",,,,,"2(-)","8(-)","51,0 км","132 мин"
77,250,"об мк","ул. Ж.Кюри – ул.Преображенская","ул. Жолио Кюри, ул. Генерала Бочарова, Днепропетровская .дорога, Южная дор., Николаевская дор, ул.Ат.Головатого, сп.Херсонский, ул.Старопортофранковская,  ул.М.Арнаутская, ул. Преображенская,  ","ул. Преображенская, ул.Пантелеймоновска,  ул.Старопортофранковская,  ул.Торговая, ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, Южная дор., Днепропетровская дорога, ул. Генерала Бочарова, ул. Жолио Кюри","06:45-20:15","1 (-)","4 (-)","37,7 км","98 мин"
78,280,"об мк","ул.Архитекторская–Клеверный мост","ул.Архитекторская, ул.Ак.Королева, ул.25-й Чап.Дивизии, ул.Комарова, ул.Ак.Филатова, ул.Щорса, Ивановский путепровод, ул.Ак.Гаркавого, ул.Проселочная, Дальницкое шоссе, Тираспольское шоссе, Окружная дорога, Клеверный мост.","Клеверный мост, Окружная дорога, Тираспольское шоссе, Дальницкое шоссе, ул.Проселочная, ул.Ак.Гаркавого, Ивановский путепровод, ул.Щорса, ул.Ак.Филатова, ул.Комарова, ул.25-й Чап.Дивизии,  ул.Ак.Королева, ул.Архитекторская","08:00-16:00","- (1)","- (3)","39,8 км","100 мин"
,280,"мт мк",,,,"07:00-21:00","5(4)","25(20)","39,8 км","90 мин"
79,288,"об авт","Деткомбинат - кладбище Западное","Днепропетровская дорога (Деткомбинат), ул.Ген.Бочарова, пр.Добровольского, ул.Заболотного, Окружная дорога 
(кладб.""Западное"")","Окружная дорога (кладбище ""Западное""), Окружная дорога, ул.Заболотного, пр.Добровольского, ул.Ген.Бочарова, Днепропетровская дорога (Деткомбинат)","09:40-16:20","1 (1)","2 (2)","50.4 км","140 мин"
80,"11А","мт мк","Дальние Мельницы – пл.Старосенная","ул. Фабричная, ул. Радужная, 
ул. Аккордная, ул. Строганова, ул. В.Стуса, ул. Мельницкая, ул. Степовая, 
ул. Б.Хмельницкого,
 ул. Пантелеймоновская, 
ул. Екатерининская, ул. Новощепной ряд, ул. Водопроводная, пл. Старосенная","пл. Старосенная, ул. Одесса-Главная, Итальянский бульвар, Привокзальная пл., 
ул. Пантелеймоновская, 
ул. Б.Хмельницкого, ул. Степовая, 
ул. Мельницкая, Ивановский путепровод, ул. Ак. Гаркавого, Ивановский путепровод, ул. Мельницкая, ул. В.Стуса, 
 ул. Строганова, ул. Фабричная","07:00-18:00","1 (1)","10(10)","15,7 км","40 мин"
81,"30А","мт мк","Дальние Мельницы  - Херсонский сквер ","ул. Фабричная, ул. Радужная, 
ул. Аккордная, ул. Строганова, 
ул. В. Стуса, ул. Дальницкая, 
ул. Балковская, Херсонский сквер","Херсонский сквер, ул. Черноморсокго казачества, ул. Церковная, ул. Атамана Головатого, ул. Балковская, ул. Дальницкая, ул. В.Стуса, ул. Строганова, ул. Фабричная","06:30-20:30","1(1)","10(10)","14,9 км","45 мин"
