"№ п/п","№ маршр.","Режим движения","Названия маршрута","Прямой путь","Обратный путь","Время нач. и оконч. работы маршрута","Кол-во
выездов
Раб.  (Вых.)","Кол-во оборотных
рейсов Раб. (Вых.)","Длина оборотн. рейса","Время оборотн.  рейса по паспорту"
21,"115к","мт авт","Ж/М Бугаевский – пл. 10 апреля","ул.Бугаёвская, ул. Грушевского,
 ул. Балковская, ул.Средняя, ул.Косвенная, ул.Степовая, ул.Б.Хмельницкого, ул.Мечникова, ул.Пантелеймоновская, ул.Ришельевская, бульвар Итальянский, ул.Среднефонтанская, ул.Семинарская, проспект Шевченко, пл. Десятого апреля, 
ул. Генуэзская, ул. Посмитного, ул. Тенистая, ул. Черняховского, 
пл. Десятого апреля ","Пл. Десятого апреля, пр. Шевченко, 
ул. Пироговская, ул. Марьиинская, Итальянский бульвар, ул. Белинского, ул.Пантелеймоновская, ул.Мечникова, ул.Б.Хмельницкого, ул. Степовая, ул.Косвенная, ул.Колонтаевская, Автовокзал, ул. Грушевского, ул.Балковская, ул.Бугаевская. ","07:00-18:40","1(1)","8(8)","23,2 км","67 мин"
22,117,"мт мк","Аэропорт Центральный – 
ул. Ак. Воробьёва"," Аэропорт, ул. Центральный аэропорт, Овидиопольская дор., ул. Щорса,
ул. Центральный аэропорт, 
ул. Кострова, ул. Платановая. 
ул. Радостная, пл.Б.Деревянко, ул.Ак.Филатова, ул. Космонавтов, Люстдорфская дор, ул. Водопроводная, пл.Старосенная, б-р. Итальянский, ул.Ришельевская, ул.Новощепной ряд, ул.Екатерининская, ул.Ланжероновская, ул.Гаванная, пер.Маяковского, ул.Софиевская, ул.Конная,  ул. Пастера,
 ул. Старопортофранковская,
 сп. Ольгиевский, 
ул. Краснослободская, 
ул. Ширшова, ул. Слободская, 
ул. Бадаева, ул. Неждановой, 
ул. Кладбищенская, ул. Ак. Воробьёва","ул. Ак. Воробьёва, ул. Кладбищенская, 
ул. Бадаева, ул. Слободская, ул. Яши Гордиенко, ул. Краснолободская, ул. Балковская, Херсонский сп., ул. Пастера, ул.Преображенская, ул. Бунина, ул.Екатерининская, Новощепной ряд, ул.Водопроводная, Люстдорфская дорога, ул.Космонавтов, ул. Ак. Филатова, пл.Б.Деревянко, ул. Радостная,
 ул. Полтавская, ул. Кострова, 
ул. Центральный аэропорт, ул. Щорса, Овидиопольская дор., 
ул. Центральный аэропорт, Аэропорт.","06:30-20:30","22 (16)","154 (112)","37,5 км","80 мин"
23,120,"мт мк","Ул. Паустовского – Ж/Д вокзал","Ул. Паустовского, Днепропетровская дор., Южная дор., Николаевская дорога, ул.Ат.Головатого,  ул.Приморская, сп.Польский, ул.Польская, ул.Еврейская,  ул.Осипова, ул.М.Арнаутская, ул.Гимназическая, б-р Итальянский
(ж/д вокзал)","Б-р Итальянский, (ж/д вокзал), ул.Л.Шмидта,  ул.М.Арнаутская, ул.Осипова, ул.Еврейская, ул.Польская, сп.Польский, ул.Приморская, ул.Черноморского казачества, Николаевская дорога, Южня дор, Днепропетровская дор., 
ул. Паустовского","05:30-23:40","13(13)","91(91)","44,0 км","96 мин"
,,"мт авт",,,,"05:35-23:40","1(-)","4(-)","44,0 км","112 мин"
24,121,"мт мк","Пр-т М. Жукова 
(ТЦ Метро) 
– ул. Ак. Сахарова","
просп. М. Жукова, ул. 25 Чапаевской див., ул.И.Рабина, пл.Б.Деревянко, ул.Рекордная, ул.Бреуса, ул.Скворцова, ул.Шота Руставели, ул.Авиационная,
ул. Косовская, ул.Чернышевского, ул.Водопроводная, пл.Старосенная, бул.Итальянский, ул.Новощепной ряд, ул.Екатерининская, ул. Б.Арнаутская,  ул.Преображенская, ул. Софиевская, спуск Маринеско, ул. Черноморского казачества, ул. Николаевсая дорога,
ул. Южная дорога, ул. Днепропетровская дорога, ул. Ак. Заболотного, 
ул. Ак. Сахарова
","ул. Ак. Сахарвоа, ул. Заболотного, 
ул. Днепропетровская дорога, ул. Южная дорога, ул. Николаевская дорога, 
ул. Ат.Головатого, 
ул. Старопортофранковская, ул. Пастера, ул.Преображенская, ул. М.Арнаутская, ул.Пантелеймоновская, ул.Екатерининская, ул.Новощепной ряд,  ул.Водопроводная, ул.Чернышевского, ул.Авиационная, 
ул.И. и Ю. Липы, ул.Рекордная,  пл.Б.Деревянко, ул.И.Рабина, ул. 25 Чапаевской див., просп. М. Жукова","06:00-22:00","40 (30)","160 (120)","63,3 км","192 мин"
,,"об мк",,,,"06.05-19.00","2(-)","6(-)","63,3 км","200 мин"
25,124,"об мк","ул. Ильфа и Петрова –
пос. Сахарный","ул.Ильфа и Петрова, ул.Ак.Вильямса, Люстдорфская дорога, пл.Толбухина, ул.Краснова, ул.Среднефонтанская, 
ул. Пушкинская, ул. Б. Арнаутская, ул.Екатерининская, ул.Успенская, ул.Дегтярная,  пл.Л.Толстого, 
ул. Дегтярная, ул. Тираспольская, 
ул. Колонтаевская, Центральный автовокзал, ул. М.Грушевского, 
ул. Пестеля (Сахарный пос.)","ул. Пестеля (Сахарный пос.), 
ул. М.Грушевского,  ул. Разумовского, 
ул. Косвенная, ул. Колонтаевская, Центральный автовокзал, 
ул. Колонтаевская, ул. Тираспольская, 
ул. Дегтярная, пл.Л.Толстого, ул.Л.Толстого, ул. Бунина, 
ул. Екатериниская, ул. М Арнаутская, ул.Ришельевская, бул.Итальянский, ул.Среднефонтанская, ул.Краснова, пл.Толбухина, Люстдорфская дорога, ул.Ак.Вильямса, ул.Ильфа и Петрова","07:00-21:00","3(1)","12(4)","33,0 км","83 мин"
,124,"мт мк",,,,"06:30-23:30","20(20)","200(200)","33,0 км","79 мин"
26,126,"об авт","пл. Тираспольская-Сельхозтехника","пл.Тираспольская, ул.Нежинская,  ул.Ольгиевская, сп.Ольгиевский, сп.Краснослободской, ул.Краснослободская, ул.Ширшова, ул.Слободская, ул.Ак.Воробьева,  ул.М.Грушевского, Ленинградское шоссе, Сельхозтехника","Сельхозтехника, Ленинградское шоссе, ул.М.Грушевского,  ул.Ак.Воробъева, ул.Краснослободская, сп.Краснослободской, сп.Скидановский, ул. Манежная, ул. Ольгиевская, ул.Нежинская, пл.Тираспольская","07:30-17:40","1 (1)","6 (6)","18,9 км","70 мин"
27,127,"об мк","Инфекц. больница -Мемориал 411 батареи","ул.Пастера, ул.Ольгиевская, ул.Старопортофранковская, ул.М.Арнаутская, ул.Екатерининская, ул.Пантелеймоновская, ул.Ришельевская, бул.Итальянский, ул.Среднефонтанская, ул. Пироговская, ул.Канатная, 
ул. Сегедская, Фонтанская дорога, ул.Чубаевская,  ул.Д.Донского, Люстдорфская дорога, ул.Долгая, ул.Дача Ковалевского, Мемориал 411 батареи.","Мемориал 411 батареи, ул. Дача Ковалевского, ул.Долгая, Люстдорфская дорога, ул.Дмитрия Донского, ул.Чубаевская, Фонтанская дорога, ул.Сегедская, пр.Гагарина, пр.Шевченко, ул.Пироговская, ул.Мариинская, бул.Итальянский, ул. Пантелеймоновская, ул.Екатерининская, ул.Б.Арнаутская, 
ул. Старопортофранковская, ул.Торговая,  ул.Пастера","06:50-17:00","2 (-)","8 (-)","40,6 км","118 мин"
